Date,Open,High,Low,Close,AdjClose,Vol
13-Jul-20,27.1,28.1,25.2,25.3,25.3,"27,211,200"
10-Jul-20,25.08,26.35,24.72,26.25,26.25,"25,025,400"
9-Jul-20,26.72,26.89,24.03,25.03,25.03,"32,572,500"
8-Jul-20,26.05,26.98,25.11,26.65,26.65,"23,364,000"
7-Jul-20,26.86,27.56,25.88,26.06,26.06,"22,787,900"
6-Jul-20,28.63,28.75,27.28,27.53,27.53,"23,087,900"
2-Jul-20,28.23,28.59,26.71,27,27,"24,705,000"
1-Jul-20,27.71,28.22,26.34,26.63,26.63,"30,886,000"
30-Jun-20,26.03,27.69,26,27.39,27.39,"25,972,400"
29-Jun-20,24.99,26.73,24.14,26.39,26.39,"30,744,300"
26-Jun-20,25.52,25.68,23.84,23.96,23.96,"28,481,600"
25-Jun-20,24.52,26.09,23.84,26.03,26.03,"25,789,300"
24-Jun-20,26.51,26.78,23.76,24.88,24.88,"34,646,700"
23-Jun-20,28.31,28.54,27.41,27.61,27.61,"16,630,800"
23-Jun-20,0.011 Dividend,,,,,
22-Jun-20,26.1,27.36,25.29,27.3,27.28,"18,446,000"
19-Jun-20,28.39,28.48,25.84,26.47,26.46,"24,696,600"
18-Jun-20,26.12,27.81,25.82,26.96,26.95,"18,068,200"
17-Jun-20,28.61,28.82,26.67,26.93,26.92,"24,854,600"
16-Jun-20,29.76,29.8,26.57,28.48,28.46,"39,930,800"
15-Jun-20,22.45,27.12,22.42,26.63,26.62,"36,273,000"
12-Jun-20,25.9,26.25,22.74,24.87,24.86,"43,308,200"
11-Jun-20,26.34,26.88,23.04,23.23,23.22,"49,142,500"
10-Jun-20,32.59,32.76,29.89,30.04,30.02,"37,252,600"
9-Jun-20,33.16,33.76,31.93,32.76,32.74,"24,298,100"
8-Jun-20,34.14,34.83,33.7,34.61,34.59,"20,820,700"
5-Jun-20,33.21,34.01,32.36,32.73,32.71,"28,063,900"
4-Jun-20,28.87,29.95,28.48,29.33,29.31,"28,118,500"
3-Jun-20,28.76,30.18,28.47,29.4,29.38,"21,665,500"
2-Jun-20,27.32,27.75,26.43,27.46,27.44,"26,011,500"
1-Jun-20,26.29,27.63,25.89,26.84,26.83,"21,827,500"
29-May-20,25.75,26.29,24.66,26.02,26.01,"31,457,700"
28-May-20,29.48,29.5,26.09,26.57,26.56,"30,945,200"
27-May-20,27.66,28.78,25.31,28.57,28.55,"33,775,900"
26-May-20,26.82,26.98,25.96,26.07,26.06,"27,265,200"
22-May-20,23.96,24.14,23.08,24.03,24.02,"22,622,600"
21-May-20,23.65,24.14,22.85,23.77,23.76,"34,602,200"
20-May-20,22.95,24.07,22.8,23.57,23.56,"30,007,800"
19-May-20,22.78,23.37,21.64,21.66,21.65,"30,148,400"
18-May-20,22.15,23.29,22.1,22.99,22.98,"30,791,700"
15-May-20,18.04,19.65,17.81,19.46,19.45,"24,740,600"
14-May-20,17.15,18.65,15.93,18.63,18.62,"39,014,800"
13-May-20,19.86,20.02,17.32,18.35,18.34,"32,853,000"
12-May-20,23.22,23.24,20.4,20.43,20.42,"24,931,000"
11-May-20,22.25,23.58,21.67,22.88,22.87,"28,597,100"
8-May-20,22.14,23.34,21.7,23.23,23.22,"27,479,600"
7-May-20,20.82,21.34,20.41,20.86,20.85,"22,169,200"
6-May-20,20.87,21.23,19.74,19.98,19.97,"20,790,100"
5-May-20,21.15,22.04,20.21,20.44,20.43,"27,468,500"
4-May-20,19.03,20.11,18.39,19.97,19.96,"18,152,600"
1-May-20,20.81,20.96,18.81,19.8,19.79,"24,249,300"
30-Apr-20,23.34,23.89,22.37,22.47,22.46,"26,163,500"
29-Apr-20,24.29,26.03,23.48,25.26,25.25,"30,897,300"
28-Apr-20,23.08,23.27,21.15,22.16,22.15,"31,466,200"
27-Apr-20,19.63,21.7,19.57,21.2,21.19,"23,845,500"
24-Apr-20,18.48,19.29,17.85,18.93,18.92,"19,757,900"
23-Apr-20,17.87,19.09,17.67,18.04,18.03,"23,402,500"
22-Apr-20,17.91,18.24,17.3,17.53,17.52,"13,277,900"
21-Apr-20,16.71,17.53,16.31,16.87,16.86,"25,230,100"
20-Apr-20,17.73,19.21,17.44,18.13,18.12,"21,921,800"
17-Apr-20,18.69,19.08,17.98,18.84,18.83,"23,668,900"
16-Apr-20,17.18,17.27,15.63,16.65,16.64,"23,377,800"
15-Apr-20,17.1,17.64,16.5,17.05,17.04,"20,205,500"
14-Apr-20,19.9,20.35,18.75,19.41,19.4,"21,057,800"
13-Apr-20,19.47,19.83,17.7,18.35,18.34,"25,276,300"
9-Apr-20,19,20.31,18.83,19.96,19.95,"34,403,700"
8-Apr-20,16.13,17.86,15.6,17.49,17.48,"22,154,400"
7-Apr-20,16.92,17.65,15.13,15.35,15.34,"29,071,500"
6-Apr-20,13.94,15.46,13.93,15.22,15.21,"17,299,900"
3-Apr-20,13.18,13.67,11.65,12.35,12.34,"17,621,400"
2-Apr-20,12.89,14.55,12.44,13.55,13.54,"17,347,100"
1-Apr-20,14.27,14.81,12.75,13.22,13.21,"16,948,600"
